#Time series of the CCD V magnitude differences of xxxxx relative to the
#mean magnitude of
#GSC2.2  N0330220980  (21:21:30.731 +32:13.05.78) and    
#GSC2.2  N03302207371 (21:20:59.483 +32:13.01.63)
#HJD-2400000   deltaV
54277.56724	0.1028
54277.57202	0.1228
54277.57682	0.1412
54280.44900	-0.0160
54280.45361	-0.0044
54280.45824	-0.0003
54280.46286	0.0067
54280.46760	0.0064
54280.47240	0.0231
54280.47719	0.0375
54280.48198	0.0441
54280.48677	0.0536
54280.49157	0.0596
54280.49635	0.0869
54280.50114	0.1019
54280.50593	0.1084
54280.51073	0.1237
54280.51552	0.1446
54280.52030	0.1490
54280.52509	0.1573
54280.52988	0.1540
54280.53467	0.1553
54280.53945	0.1604
54280.54423	0.1519
54280.54901	0.1532
54280.55379	0.1180
54280.55858	0.0887
54280.56336	0.0013
54280.56815	-0.1054
54280.57293	-0.2621
54282.46115	-0.1691
54282.46596	-0.1500
54282.47075	-0.1438
54282.47555	-0.1268
54282.48034	-0.1350
54282.48514	-0.1180
54282.48993	-0.1017
54282.49473	-0.0892
54282.49951	-0.0773
54282.50433	-0.0629
54282.50914	-0.0580
54282.51393	-0.0518
54282.51872	-0.0333
54282.52352	-0.0421
54282.52831	-0.0317
54282.53310	-0.0348
54282.53789	-0.0282
54282.54267	-0.0224
54282.54746	-0.0230
54282.55225	-0.0239
54282.56662	0.0014
54282.57141	0.0236
54282.57620	0.0199
54283.45632	0.1326
54283.46111	0.1376
54283.46591	0.1462
54283.47070	0.1563
54283.47549	0.1580
54283.48029	0.1464
54283.48506	0.1339
54283.48952	0.1116
54283.49399	0.0702
54283.49845	0.0110
54283.50291	-0.0952
54283.50738	-0.2199
54283.51184	-0.3497
54283.51631	-0.4912
54283.52078	-0.5791
54283.52525	-0.6630
54283.52972	-0.7641
54283.53419	-0.8365
54283.53866	-0.8642
54283.54313	-0.8588
54283.54760	-0.8412
54283.55206	-0.8334
54283.55653	-0.8033
54283.56100	-0.7821
54283.56547	-0.7571
54283.56993	-0.7341
54283.57440	-0.7209
54283.57886	-0.6803
54302.36173	0.1520
54302.37065	0.1568
54302.37544	0.1516
54302.38953	0.1248
54302.39431	0.0402
54302.40390	-0.2311
54302.40870	-0.3692
54302.41827	-0.6080
54302.42307	-0.7381
54302.42786	-0.8412
54302.45298	-0.8337
54302.45777	-0.8047
54302.46257	-0.7552
54302.46736	-0.7468
54302.47216	-0.7068
54302.51534	-0.4743
54302.52014	-0.4578
54302.52494	-0.4327
54302.52973	-0.4104
54302.53451	-0.3891
54302.53931	-0.3679
54302.54411	-0.3567
54302.54891	-0.3359
54302.55370	-0.3216
54302.55850	-0.3038
54302.56329	-0.2883
54302.57288	-0.2620
54302.57768	-0.2450
54302.58249	-0.2411
54302.58728	-0.2268
54302.59247	-0.2234
54302.59728	-0.2253
54302.60208	-0.2051
54304.32362	-0.0924
54304.32841	-0.0813
54304.33323	-0.0798
54304.33801	-0.0533
54304.34282	-0.0610
54304.34762	-0.0590
54304.35242	-0.0546
54304.35722	-0.0336
54304.36202	-0.0344
54304.36682	-0.0533
54304.37161	-0.0314
54304.37642	-0.0302
54304.38122	-0.0260
54304.38602	-0.0330
54304.39081	-0.0218
54304.39561	-0.0142
54304.40040	-0.0037
54304.43064	0.0856
54304.43543	0.0982
54304.44022	0.1155
54304.44502	0.1310
54304.44981	0.1387
54304.45460	0.1358
54304.45940	0.1392
54304.46419	0.1494
54304.46898	0.1488
54304.47378	0.1520
54304.47857	0.1349
54304.48337	0.1015
54304.48817	0.0577
54304.49296	-0.0202
54304.49776	-0.1183
54304.50256	-0.2727
54304.50735	-0.4229
54304.51215	-0.5348
54304.51695	-0.6252
54304.52173	-0.7387
54304.52652	-0.8262
54304.53132	-0.8679
54304.53611	-0.8656
54304.54090	-0.8576
54304.54569	-0.8357
54304.55048	-0.8030
54304.55527	-0.7839
54304.56006	-0.7588
54304.56485	-0.7337
54304.56964	-0.7073
54304.57443	-0.6791
54304.57923	-0.6528
54304.58402	-0.6277
54304.58898	-0.6011
54304.59393	-0.5738
54304.59871	-0.5540
54306.50551	0.0153
54306.51029	0.0275
54306.51508	0.0379
54306.51988	0.0511
54306.52467	0.0682
54306.52946	0.0811
54306.53425	0.0969
54306.53904	0.1016
54306.54385	0.1202
54306.54864	0.1227
54306.55343	0.1365
54306.55822	0.1478
54306.56301	0.1421
54306.56780	0.1381
54306.57259	0.1261
54306.57738	0.1183
54306.58216	0.0812
54306.58696	0.0300
54306.59210	-0.0448
54308.31985	-0.8310
54308.32464	-0.8208
54308.32945	-0.7992
54308.33425	-0.7714
54308.33904	-0.7549
54308.34383	-0.7234
54308.34861	-0.6919
54308.35293	-0.6728
54308.35708	-0.6459
54308.36123	-0.6329
54308.36953	-0.5911
54308.37369	-0.5722
54308.37784	-0.5449
54308.38199	-0.5335
54308.38613	-0.5092
54308.39028	-0.4890
54308.39444	-0.4698
54308.39858	-0.4610
54308.40275	-0.4368
54308.40689	-0.4235
54308.41105	-0.4050
54308.41520	-0.3888
54308.42573	-0.3545
54308.42989	-0.3451
54308.43404	-0.3298
54308.43819	-0.3151
54308.44234	-0.2984
54308.44652	-0.2948
54308.45098	-0.2759
54308.45545	-0.2683
54308.46438	-0.2479
54308.46885	-0.2366
54308.47332	-0.2311
54308.47779	-0.2143
54308.48225	-0.1984
54308.48673	-0.1961
54308.49119	-0.1804
54308.49566	-0.1669
54308.50460	-0.1522
54308.50908	-0.1419
54308.51356	-0.1349
54308.51802	-0.1208
54308.52248	-0.1122
54308.52695	-0.1041
54308.53142	-0.0920
54308.53588	-0.0722
54308.54035	-0.0686
54308.54482	-0.0569
54308.54929	-0.0649
54308.55375	-0.0573
54308.55822	-0.0511
54308.56270	-0.0491
54308.56716	-0.0461
54308.57163	-0.0404
54308.57610	-0.0359
54308.58057	-0.0271
54308.58504	-0.0158
54308.58969	-0.0143
54308.59432	-0.0090
54308.59878	-0.0007
54312.48277	-0.2720
