#HJD		uncertainty
2415290.4090		0.0100
2418570.3200		0.0100
2425887.5500		0.0100
2425887.5597		0.0100
2425887.5597		0.0100
2425923.2460		0.0100
2425968.1760		0.0100
2425973.2140		0.0100
2426200.3530		0.0100
2426551.3630		0.0100
2426552.2030		0.0100
2426554.3040		0.0100
2426557.2270		0.0100
2426558.4960		0.0100
2426559.3320		0.0100
2426635.3250		0.0100
2426681.0920		0.0100
2426920.4110		0.0100
2426928.3840		0.0100
2426934.2630		0.0100
2426938.4580		0.0100
2426943.4970		0.0100
2426944.3390		0.0100
2426952.3150		0.0100
2426954.4170		0.0100
2426957.3560		0.0100
2426959.4550		0.0100
2426962.3940		0.0100
2426963.2320		0.0100
2426963.2400		0.0100
2426975.4110		0.0100
2426981.2890		0.0100
2426983.3900		0.0100
2427004.8100		0.0100
2427092.1310		0.0100
2427315.0730		0.0100
2427334.3860		0.0100
2427336.4860		0.0100
2427337.3270		0.0100
2427340.2620		0.0100
2427342.3650		0.0100
2427344.4630		0.0100
2427345.3020		0.0100
2427683.2880		0.0100
2427687.4890		0.0100
2427688.3270		0.0100
2428041.4310		0.0100
2428046.4660		0.0100
2428047.3010		0.0100
2428076.6950		0.0100
2428434.4150		0.0100
2428508.3050		0.0100
2428509.1480		0.0100
2428746.3660		0.0100
2428749.3090		0.0100
2428751.4040		0.0100
2428754.3470		0.0100
2429224.5850		0.0100
2430585.3540		0.0000
2433557.5270		0.0100
2433872.4300		0.0100
2433896.3580		0.0100
2433896.3600		0.0100
2433898.4440		0.0100
2433898.4470		0.0100
2433917.3400		0.0100
2433917.3400		0.0100
2433922.3760		0.0100
2433941.2520		0.0100
2433946.2980		0.0100
2433948.4030		0.0100
2433952.1800		0.0100
2434001.3120		0.0100
2434001.3140		0.0100
2434239.3650		0.0100
2434249.4420		0.0100
2434251.5400		0.0100
2434265.3940		0.0100
2434267.4900		0.0100
2434579.4450		0.0100
2434608.4240		0.0100
2434680.2250		0.0100
2434688.1950		0.0100
2434693.2280		0.0100
2434991.3380		0.0100
2435363.3400		0.0100
2435365.4230		0.0100
2436041.4140		0.0100
2436259.7320		0.0100
2437851.4150		0.0100
2437854.3570		0.0100
2438677.7070		0.0100
2438677.7080		0.0100
2439046.3390		0.0100
2439059.3620		0.0100
